35680,8b6,A,Hamilton TAC 3,Tactical 3 ,EMS-Tac ,MOH Hamilton CACC 
35696,8b7,A,Hamilton TAC 4,Tactical 4 ,EMS-Tac ,MOH Hamilton CACC 
35712,8b8,A,Ham City West,City West ,EMS Dispatch ,MOH Hamilton CACC 
35728,8b9,A,Ham Niagara S,Niagara South ,EMS Dispatch ,MOH Hamilton CACC 
35744,8ba,A,MIS CACC,Mississauga CACC ,EMS Dispatch ,MOH Mississauga CACC 
35760,8bb,A,Peel N Patch,Hospital Patch - Peel North ,Hospital ,MOH Mississauga CACC 
35776,8bc,A,Peel S Patch,Hospital Patch - Peel South ,Hospital ,MOH Mississauga CACC 
35792,8bd,A,Halton EMS,Halton Region ,EMS Dispatch ,MOH Mississauga CACC 
35808,8be,A,MIS TAC 1 SW,Tactical 1 - Peel South West ,EMS-Tac ,MOH Mississauga CACC 
35824,8bf,A,MIS TAC 2 SE,Tactical 2 - Peel South East ,EMS-Tac ,MOH Mississauga CACC 
35840,8c0,A,MIS TAC 3 HL,Tactical 3 - Halton - Hospital Patch  ,Hospital ,MOH Mississauga CACC 
35856,8c1,A,MIS TAC 4 NE,Tactical 4 - Peel North East ,EMS-Tac ,MOH Mississauga CACC 
35872,8c2,A,MIS TAC 5 NW,Tactical 5 - Peel North West ,EMS-Tac ,MOH Mississauga CACC 
35888,8c3,A,MIS Spare,Spare ,EMS Dispatch ,MOH Mississauga CACC 
35904,8c4,A,MOH OSHAWA CACC,CACC ,EMS Dispatch ,MOH Oshawa CACC 
35920,8c5,A,MOH OSHAWA N,North Dispatch ,EMS Dispatch ,MOH Oshawa CACC 
35936,8c6,A,MOH OSHAWA S,South Dispatch ,EMS Dispatch ,MOH Oshawa CACC 
35952,8c7,A,MOH OSHAWA TAC1,Tactical 1 ,EMS-Tac ,MOH Oshawa CACC 
35968,8c8,A,MOH OSHAWA TAC2,Tactical 2 ,EMS-Tac ,MOH Oshawa CACC 
35984,8c9,A,MOH OSHAWA TAC3,Tactical 3 ,EMS-Tac ,MOH Oshawa CACC 
36000,8ca,A,MOH OSHAWA SPARE,Spare ,EMS Dispatch ,MOH Oshawa CACC 
36016,8cb,A,MOH GEO CACC,CACC ,EMS Dispatch ,MOH Georgian CACC 
36032,8cc,A,MOH GEO SIM N,Simcoe North - Hospital Patch ,EMS-Tac ,MOH Georgian CACC 
36048,8cd,A,MOH GEO YORK N,York North - Hospital Patch ,EMS-Tac ,MOH Georgian CACC 
36064,8ce,A,MOH GEO YORK S,York South - Hospital Patch ,EMS-Tac ,MOH Georgian CACC 
36080,8cf,A,MOH GEO TAC 1,York Assigner (Tactical 1) ,EMS Dispatch ,MOH Georgian CACC 
36096,8d0,A,MOH GEO TAC 2,York Follower (Tactical 2) ,EMS Dispatch ,MOH Georgian CACC 
36112,8d1,A,MOH GEO TAC 3,York Follower (Tactical 3) ,EMS-Tac ,MOH Georgian CACC 
